task_id,band,model_role,turn_index,cov
16,few,opus,0,0.059325172161691045
16,few,opus,1,0.06376225879917566
16,few,opus,2,0.05595812740006713
16,few,sonnet,0,0.048703617725633364
16,few,sonnet,1,0.05414175263517163
16,few,sonnet,2,0.16140472648346293
16,many,opus,0,0.07926461063561453
16,many,opus,1,0.06168207872127424
16,many,opus,2,0.06750592359763052
16,many,opus,3,0.10732363140295219
16,many,opus,4,0.08175626492045922
16,many,opus,5,0.0817540836739457
16,many,opus,6,0.08591209667157332
16,many,opus,7,0.09955214351607124
16,many,sonnet,0,0.046148752769265
16,many,sonnet,1,0.08092866977933112
16,many,sonnet,2,0.160400087903052
16,many,sonnet,3,0.16224083327765637
16,many,sonnet,4,0.31898942744286674
16,many,sonnet,5,0.21158490285041728
16,many,sonnet,6,0.0951796753168216
16,many,sonnet,7,0.07850223663960057
17,few,opus,0,0.26533116594853884
17,few,opus,1,0.37435466323896316
17,few,opus,2,0.0903443582367597
17,few,sonnet,0,0.022590804637154595
17,few,sonnet,1,0.041391293898138753
17,few,sonnet,2,0.04687832428840652
17,many,opus,0,0.19892709172154419
17,many,opus,1,0.26305635528224286
17,many,opus,2,0.08965285212054779
17,many,opus,3,0.061003600600999734
17,many,opus,4,0.05891082720314942
17,many,opus,5,0.058056362446619755
17,many,opus,6,0.05725999053283551
17,many,opus,7,0.05414661559060309
17,many,sonnet,0,0.11194252728068056
17,many,sonnet,1,0.061480419680045716
17,many,sonnet,2,0.05944784363662318
17,many,sonnet,3,0.055185077824708335
17,many,sonnet,4,0.04696940406591678
17,many,sonnet,5,0.031199692952892953
17,many,sonnet,6,0.04141822083065518
17,many,sonnet,7,0.03546519679776108
