task_id,band,model_role,h7_label,n_off,n_on,mean_off,mean_on,mean_delta_pct,predicted_sign,observed_sign,hit,excluded
1,S,haiku,cap,20,20,231.15,139.7,-39.56305429374866,-,-,True,False
1,S,opus,cap,20,20,321.75,160.4,-50.14763014763015,-,-,True,False
1,S,sonnet,cap,20,20,293.5,140.7,-52.06132879045997,-,-,True,False
4,S,haiku,,20,20,7,7,0.0,,0,,True
4,S,opus,,20,20,8,7.9,-1.2499999999999956,,-,,True
4,S,sonnet,,20,20,7,7,0.0,,0,,True
6,S,haiku,cap,20,20,253,91.4,-63.873517786561266,-,-,True,False
6,S,opus,cap,20,20,329.2,140.2,-57.41190765492102,-,-,True,False
6,S,sonnet,cap,20,20,328.5,93.15,-71.64383561643835,-,-,True,False
7,S,haiku,cap,20,20,272.6,140.45,-48.477622890682326,-,-,True,False
7,S,opus,cap,20,20,360.05,216.75,-39.80002777392029,-,-,True,False
7,S,sonnet,cap,20,20,306.05,153.2,-49.942819800686166,-,-,True,False
8,S,haiku,cap,20,20,286.2,147.1,-48.60237596086653,-,-,True,False
8,S,opus,cap,20,20,407.5,206.35,-49.36196319018405,-,-,True,False
8,S,sonnet,cap,20,20,299.25,138.6,-53.68421052631579,-,-,True,False
9,S,haiku,mandate,20,20,414.65,984.4,137.40504039551428,+,+,True,False
9,S,opus,mandate,20,20,1087.7,1677.15,54.19233244460789,+,+,True,False
9,S,sonnet,mandate,20,20,935.1,1047.85,12.05753395358784,+,+,True,False
15,S,haiku,mandate,20,20,514.3,2643.5,413.99961112191323,+,+,True,False
15,S,opus,mandate,20,20,1570.3,2912.65,85.48366554161626,+,+,True,False
15,S,sonnet,mandate,20,20,1534.2,6223.4,305.6446356407248,+,+,True,False
23,S,haiku,mandate,20,20,453.4,3799.5,738.001764446405,+,+,True,False
23,S,opus,mandate,20,20,1162.95,3144.05,170.35126187712285,+,+,True,False
23,S,sonnet,mandate,20,20,1485.9,2665.7,79.39969042331245,+,+,True,False
24,S,haiku,mandate,20,20,312.85,414.25,32.411698897235084,+,+,True,False
24,S,opus,mandate,20,20,512.05,780.5,52.426520847573485,+,+,True,False
24,S,sonnet,mandate,20,20,540.6,633.3,17.147613762486113,+,+,True,False
