spot_id,task_id,model_role,arm,idx,llm_pass
eb4339259066,1,haiku,neutral,6,pass
c03e6486c6ad,1,haiku,neutral,4,pass
7c05b95fed61,1,haiku,off,11,pass
ec2fb238bfcd,1,haiku,off,2,pass
181f5bfacda9,1,haiku,on,5,pass
f8dd5792befb,1,haiku,on,3,fail
fa8207de59b7,1,opus,neutral,4,pass
f3f51fce2777,1,opus,neutral,11,pass
3a94fefd44b8,1,opus,off,5,pass
cc272f80c654,1,opus,off,4,pass
c573df6d8790,1,opus,on,7,fail
95676cf687fa,1,opus,on,2,fail
4507a893afee,1,sonnet,neutral,13,pass
537bb2ac3c5e,1,sonnet,neutral,12,pass
d910749a3238,1,sonnet,off,17,pass
ece00d5663df,1,sonnet,off,11,pass
ebb216a02d93,1,sonnet,on,15,pass
d36735a56f7f,1,sonnet,on,14,fail
70f5f3a8b2a4,6,haiku,neutral,15,fail
b50356477c96,6,haiku,neutral,3,fail
787fadf07084,6,haiku,off,4,fail
f4cc8de41463,6,haiku,off,6,pass
a0cf90614743,6,haiku,on,7,pass
8f1a86ee038e,6,haiku,on,6,pass
12bd652dd71c,6,opus,neutral,18,pass
2ab9b65187de,6,opus,neutral,5,fail
c08f147baf62,6,opus,off,13,fail
10e940188298,6,opus,off,12,pass
9b00de8bfdff,6,opus,on,18,pass
2cb3f9cccc52,6,opus,on,3,pass
431d8f5f3378,6,sonnet,neutral,5,fail
e026c16f5927,6,sonnet,neutral,16,fail
2470953000ea,6,sonnet,off,12,fail
1a323eca9a7a,6,sonnet,off,9,fail
a16c02fd502a,6,sonnet,on,13,pass
ddfd85d2ebda,6,sonnet,on,16,pass
4b2635008497,7,haiku,neutral,15,fail
e014bc909f79,7,haiku,neutral,5,fail
295bb7abd44a,7,haiku,off,18,pass
c762eb201279,7,haiku,off,3,fail
4054ebc0bd21,7,haiku,on,8,fail
9ead2058ec7a,7,haiku,on,10,fail
8bdec9855a67,7,opus,neutral,5,pass
cb55b5af817d,7,opus,neutral,3,pass
65acbd7c5225,7,opus,off,7,pass
40bbf7140656,7,opus,off,0,pass
0111d4b825ea,7,opus,on,19,pass
9cded0d97d6e,7,opus,on,16,pass
d0b7ef9e914b,7,sonnet,neutral,4,fail
fcfeebb90183,7,sonnet,neutral,3,fail
8d7c40fe4bcd,7,sonnet,off,6,fail
395a60a0a018,7,sonnet,off,2,fail
c6109361d9f4,7,sonnet,on,1,fail
185f37a50ba9,7,sonnet,on,3,fail
8f83026d382b,8,haiku,neutral,12,pass
9b7c4ee28597,8,haiku,neutral,7,pass
d4fb40d180bb,8,haiku,off,13,pass
aaba3fb8b0c2,8,haiku,off,2,pass
d587962c98a6,8,haiku,on,18,fail
e2282876c12e,8,haiku,on,11,fail
2a5b203a7142,8,opus,neutral,10,pass
ec1031ae8244,8,opus,neutral,14,pass
1eae5202fb2c,8,opus,off,5,pass
8a4c9749b953,8,opus,off,9,pass
6ab462e1adce,8,opus,on,15,pass
5e7d0c53d5f1,8,opus,on,17,pass
893429e20ffc,8,sonnet,neutral,15,pass
bd00c3aa3af2,8,sonnet,neutral,4,pass
731a79c5e628,8,sonnet,off,0,pass
2e5b17f5a7b6,8,sonnet,off,6,pass
1fddd8038e90,8,sonnet,on,4,pass
45365665d5de,8,sonnet,on,18,pass
93aeee621193,9,haiku,neutral,10,fail
857051248e92,9,haiku,neutral,5,fail
2cdcaa346a23,9,haiku,off,15,fail
aede31fc8ded,9,haiku,off,13,pass
8f573859a89a,9,haiku,on,16,pass
983b9e409023,9,haiku,on,19,fail
c1a8c29f9d50,9,opus,neutral,5,pass
79015e6e784f,9,opus,neutral,12,pass
49a00085be44,9,opus,off,14,pass
e73ae9425cad,9,opus,off,1,fail
8018ffc8fa8f,9,opus,on,13,pass
bd5238d50628,9,opus,on,3,pass
832ec9ef42c3,9,sonnet,neutral,4,fail
4d55fc45fee5,9,sonnet,neutral,18,fail
539061205b56,9,sonnet,off,12,fail
fc9074085d63,9,sonnet,off,4,fail
1103deacbcf4,9,sonnet,on,4,pass
1d265ac8ddd5,9,sonnet,on,12,pass
069682c1b953,15,haiku,neutral,18,fail
d37ba4f451f8,15,haiku,neutral,8,fail
71a26186fd34,15,haiku,off,13,fail
c96c4ae0cc83,15,haiku,off,9,pass
cddb6910e1f2,15,haiku,on,7,fail
ce2badac03e5,15,haiku,on,9,fail
783c110cd544,15,opus,neutral,4,pass
ccbff21535b0,15,opus,neutral,7,pass
f36a069e1dc3,15,opus,off,18,pass
7ebb3939133c,15,opus,off,15,pass
565676e77a8f,15,opus,on,18,pass
9a86285d6b75,15,opus,on,5,pass
587612a33210,15,sonnet,neutral,9,fail
29a1d2377e77,15,sonnet,neutral,1,fail
778cdcd29561,15,sonnet,off,9,pass
d73278d14dde,15,sonnet,off,0,pass
adb0e4dd0818,15,sonnet,on,10,pass
66a2c98a70fd,15,sonnet,on,15,pass
fd38015df23e,23,haiku,neutral,13,fail
9263f0d25c6b,23,haiku,neutral,8,fail
a044e69ae5e9,23,haiku,off,19,pass
9696645b6ea6,23,haiku,off,2,pass
06149cca9d49,23,haiku,on,18,fail
5a6a4e21858b,23,haiku,on,1,fail
2a65882d608e,23,opus,neutral,14,fail
19f6700df697,23,opus,neutral,18,fail
bc74fbfaa631,23,opus,off,7,fail
064eb3919355,23,opus,off,6,pass
951499d997c5,23,opus,on,19,pass
a23eb729f401,23,opus,on,12,pass
da4f4a967f08,23,sonnet,neutral,4,fail
e61033ef353a,23,sonnet,neutral,16,pass
2c902adc3360,23,sonnet,off,19,fail
b749055b0b3b,23,sonnet,off,0,pass
2ea01bbbe2cb,23,sonnet,on,18,fail
bf20c6db5d4f,23,sonnet,on,5,pass
36bd7a929928,24,haiku,neutral,7,fail
da6933c1633d,24,haiku,neutral,16,pass
50b7d7d354cb,24,haiku,off,19,pass
beaa7c7745fb,24,haiku,off,18,pass
2a8652dd5147,24,haiku,on,0,fail
5d5402f1bb3b,24,haiku,on,14,fail
227d6d988747,24,opus,neutral,11,pass
4edd356a7c87,24,opus,neutral,5,pass
442ed8382692,24,opus,off,14,pass
3e192a136031,24,opus,off,0,pass
53c803b52cd6,24,opus,on,9,pass
1e2af637e1a8,24,opus,on,1,pass
bdd797a5724d,24,sonnet,neutral,0,pass
31695c68eb00,24,sonnet,neutral,9,pass
b5c2790ce2bd,24,sonnet,off,9,pass
1d4054f2c3de,24,sonnet,off,1,fail
7ad5df04565c,24,sonnet,on,15,pass
8d1e60041176,24,sonnet,on,2,pass
